Description;Native;Bytes;R-encoding;Synonyms;DefWords;DescDef
leftpointing magnifying glass;🔍;\xF0\x9F\x94\x8D;<ed><a0><bd><ed><b4><8d>;leftpointing looked up and down left undone magnifying aggravate deepen glass mirror reflector;perceive attention direct ones gaze towards give certain impression certain outward aspect certain outward facial expression search seek oriented certain direction often respect another reference point opposite take charge deal convey ones expression look forward probable occurrence accord appearance faith confidence moving higher position greater value former position level bed getting higher vigorous extending moving toward higher place usually followed on for used computers used moving lower position less value extending moving higher lower place becoming progressively lower put strikeout understood perfectly lower previously functioning temporarily permanently filled melancholy despondency located directed toward side body west facing north used intended left hand belonging political intellectual left done doomed extinction fastened tied secured thrown state disorganization incoherence increase size volume significance enlarge beyond bounds truth make large make worse exasperate irritate make intense stronger marked become intense make deeper become deeper tone furnish glass scan game forest enclose glass put glass container become glassy take glasslike appearance reflect mirror reflect resemble device reflects radiation optical telescope consisting large concave mirror produces image magnified eyepiece;increase size volume significance enlarge beyond bounds truth make large furnish glass scan game forest enclose glass put glass container become glassy take glasslike appearance brittle transparent solid irregular atomic structure container made glass holding liquids drinking quantity glass hold small refracting telescope amphetamine derivative trade name methedrine mirror usually ladies dressing mirror glassware collectively
leftwards arrow with hook;↩;\xE2\x86\xA9;<e2><86><a9>;leftwards afterwards soft words arrow missile projectile with along alongside hook curve angle;happening time subsequent reference time yielding readily pressure weight compassionate kind conciliatory of sound easily hurt produced vibration vocal cords protected attack especially nuclear weapons used chiefly direction description music of light of speech sounds s sh of commodity market currency using evidence readily amenable experimental verification refutation tolerant lenient soft mild harsh stern severe little impact light condition strong robust incapable exertion endurance willing negotiate compromise burdensome demanding borne done easily without hardship mild pleasant brilliant glaring put words expression mark indicate direction relation projectile straight thin shaft arrowhead one end stabilizing vanes other intended shot bow rocket carrying warhead conventional nuclear explosives may ballistic directed remote control weapon forcibly thrown projected targets selfpropelled impelling impelled forward forward motion accompaniment companion advanced state addition usually followed with side side fasten hook rip off ask unreasonable price make piece needlework interlocking looping thread hooked needle hit ball put spin travels left take theft make belongings others hit hook catch hook cause someone oneself something especially narcotic drug secure foot entice trap approach offer sexual favors turn sharply change direction abruptly extend curves turns form arch curve bend cause bend form curl curve kink move proceed angle incline bend vertical position seek indirectly fish hook present bias;mark indicate direction relation projectile straight thin shaft arrowhead one end stabilizing vanes other intended shot bow fasten hook rip off ask unreasonable price make piece needlework interlocking looping thread hooked needle hit ball put spin travels left take theft make belongings others hit hook catch hook cause someone oneself something especially narcotic drug secure foot entice trap approach offer sexual favors catch locking door sharp curve crook shape resembling hook anything serves enticement mechanical device curved bent suspend hold pull something curved bent implement suspending pulling something golf shot curves left righthanded golfer short swinging punch delivered side elbow bent basketball shot made head hand farther basket
leftwards black arrow;⬅;\xE2\xAC\x85;<e2><ac><85>;leftwards afterwards soft words black jet slate arrow missile projectile;happening time subsequent reference time yielding readily pressure weight compassionate kind conciliatory of sound easily hurt produced vibration vocal cords protected attack especially nuclear weapons used chiefly direction description music of light of speech sounds s sh of commodity market currency using evidence readily amenable experimental verification refutation tolerant lenient soft mild harsh stern severe little impact light condition strong robust incapable exertion endurance willing negotiate compromise burdensome demanding borne done easily without hardship mild pleasant brilliant glaring put words expression achromatic color maximum darkness little hue owing absorption almost incident light belonging racial group especially subsaharan african origin marked anger resentment hostility offering little hope stemming evil characteristics forces wicked dishonorable of events of face extremely dark harshly ironic sinister of intelligence operations distributed sold illicitly used conduct character of coffee soiled dirt soot blackest black similar color jet coal designate schedule enter list slate election cover slate mark indicate direction relation projectile straight thin shaft arrowhead one end stabilizing vanes other intended shot bow rocket carrying warhead conventional nuclear explosives may ballistic directed remote control weapon forcibly thrown projected targets selfpropelled impelling impelled forward;achromatic color maximum darkness little hue owing absorption almost incident light belonging racial group especially subsaharan african origin marked anger resentment hostility offering little hope stemming evil characteristics forces wicked dishonorable of events of face extremely dark harshly ironic sinister of intelligence operations distributed sold illicitly used conduct character of coffee soiled dirt soot make become black quality state achromatic color least lightness bearing least resemblance white total absence light british chemist identified carbon dioxide formulated concepts specific heat latent heat 17281799 popular child actress 1930s born 1928 board games black clothing worn sign mourning mark indicate direction relation projectile straight thin shaft arrowhead one end stabilizing vanes other intended shot bow
lemon;🍋;\xF0\x9F\x8D\x8B;<ed><a0><bc><ed><bd><8b>;lemon failure junk;yellow oval fruit juicy acidic flesh strong yellow color small evergreen tree originated asia widely cultivated fruit distinctive tart flavor characteristic lemons artifact especially automobile act fails event accomplish intended purpose lack success person record failing someone loses consistently unexpected omission inability discharge debts come due loss ability function normally dispose something useless old;yellow oval fruit juicy acidic flesh strong yellow color small evergreen tree originated asia widely cultivated fruit distinctive tart flavor characteristic lemons artifact especially automobile
leo;♌;\xE2\x99\x8C;<e2><99><8c>;leo cougar wildcat;astrology zodiacal constellation northern hemisphere cancer virgo fifth sign zodiac sun sign july 23 august 22 large american feline resembling lion outside bounds legitimate ethical business practices without official authorization of mine oil well;astrology zodiacal constellation northern hemisphere cancer virgo fifth sign zodiac sun sign july 23 august 22
leopard;🐆;\xF0\x9F\x90\x86;<ed><a0><bd><ed><b0><86>;leopard panther cheetah;pelt leopard large feline african asian forests usually tawny coat black spots large spotted feline tropical america similar leopard classifications considered member genus felis leopard black color phase large american feline resembling lion longlegged spotted cat africa southwestern asia nonretractile claws swiftest mammal trained run game;pelt leopard large feline african asian forests usually tawny coat black spots
libra;♎;\xE2\x99\x8E;<e2><99><8e>;libra Cancer Aquarius;astrology small faint zodiacal constellation southern hemisphere virgo scorpius seventh sign zodiac sun sign september 23 october 22 malignant growth tumor caused abnormal uncontrolled cell division may spread parts body lymphatic system blood stream astrology small zodiacal constellation northern hemisphere leo gemini fourth sign zodiac sun sign june 21 july 22 type genus family cancridae astrology zodiacal constellation southern hemisphere capricornus pisces eleventh sign zodiac sun sign january 20 february 18;astrology small faint zodiacal constellation southern hemisphere virgo scorpius seventh sign zodiac sun sign september 23 october 22
light rail;🚈;\xF0\x9F\x9A\x88;<ed><a0><bd><ed><ba><88>;light sunny bright rail fume scold;comparatively little physical weight density used color military industry using or great degree quantity number psychologically light especially free sadness troubles characterized emitting light used vowels syllables easily assimilated alimentary canal rich heavily seasoned used soil of sound color moving easily quickly nimble demanding little effort burdensome little intensity power force physics chemistry weak likely lose consciousness thin insubstantial marked temperance indulgence less correct legal full amount often deliberately little importance intended primarily entertainment serious profound silly trivial designed ease movement carry little weight relatively calories lite light of sleep casual unrestrained sexual behavior light bright pleasant promoting feeling cheer emitting reflecting light readily large amounts strong striking color characterized quickness ease learning lots light either natural artificial made smooth bright rubbing reflecting sheen glow splendid made dim less bright clear sharp ringing characterized happiness gladness likely turn well future complain bitterly enclose rails provide rails separate railing convey goods etc travel rail train lay rails fish handline rails boat spread negative information criticize severely mad angry furious emit cloud fine particles treat fumes expose fumes especially aim disinfecting eradicating pests wet sweat blood ones face censure severely angrily show ones unhappiness critical attitude;comparatively little physical weight density used color military industry using or great degree quantity number psychologically light especially free sadness troubles characterized emitting light used vowels syllables easily assimilated alimentary canal rich heavily seasoned used soil of sound color moving easily quickly nimble demanding little effort burdensome little intensity power force physics chemistry weak likely lose consciousness thin insubstantial marked temperance indulgence less correct legal full amount often deliberately little importance intended primarily entertainment serious profound silly trivial designed ease movement carry little weight relatively calories lite light of sleep casual unrestrained sexual behavior light make lighter brighter begin smoke come rest settle cause start burning subject fire great heat fall somebody assignment lot alight a horse start maintain fire physics device serving source illumination particular perspective aspect situation quality luminous emitting reflecting light illuminated area condition spiritual awareness divine illumination visual effect illumination objects scenes created pictures person regarded fondly abundant light illumination mental understanding enlightening experience merriment expressed brightness gleam animation countenance public awareness divine presence believed quakers enlighten guide soul visual warning signal device lighting igniting fuel charges fires burdens complain bitterly enclose rails provide rails separate railing convey goods etc travel rail train lay rails fish handline rails boat spread negative information criticize severely barrier consisting horizontal bar supports short railway bar pair parallel bars rolled steel making railway along railroad cars vehicles roll horizontal bar usually wood metal numerous widely distributed small wading birds family rallidae short wings long toes running soft mud
link symbol;🔗;\xF0\x9F\x94\x97;<ed><a0><bd><ed><b4><97>;link network relationship symbol design emblem;make logical causal connection connect fasten put together two pieces become joined united linked link yoke communicate within group relation people relationship often used relation would serve the relationship inflation unemployment preferred usage relationship human relations states relatedness state connectedness people especially emotional connection state involving mutual dealings people parties countries anthropology arbitrary sign written printed something visible association convention represents something else invisible make work plan for devise plan something specific role purpose effect create design for create execute artistic highly skilled manner make design of plan systematic often graphic form create designs conceive fashion mind invent intend purpose special design visual object representing quality type group etc visible symbol representing abstract idea;make logical causal connection connect fasten put together two pieces become joined united linked link yoke means connection things linked series fastener serves join connect state connected connecting shape unit length equal 1100 chain computing channel communication groups twoway radio communication system usually microwave interconnecting circuit two locations purpose transmitting receiving data arbitrary sign written printed something visible association convention represents something else invisible
lipstick;💄;\xF0\x9F\x92\x84;<ed><a0><bd><ed><b2><84>;lipstick paint foundation;form tracing lipstick apply lipstick make painting apply paint to coat paint make painting apply liquid to eg paint gutters linseed oil basis something grounded institution supported endowment lowest support structure education instruction fundamentals field knowledge fundamental assumptions something begun developed calculated explained womans undergarment worn give shape contours body act starting something first time introducing something new;form tracing lipstick apply lipstick makeup used color lips
lock;🔒;\xF0\x9F\x94\x92;<ed><a0><bd><ed><b4><92>;lock grip latch;fasten lock keep engaged become rigid immoveable hold locking position become engaged intermeshed one another hold fast in certain state place place something cannot removed someone cannot escape pass means lock waterway build locks order facilitate navigation vessels hold fast firmly grip seize wrestling match render motionless fixed stare arousing terror awe fasten latch;fasten lock keep engaged become rigid immoveable hold locking position become engaged intermeshed one another hold fast in certain state place place something cannot removed someone cannot escape pass means lock waterway build locks order facilitate navigation vessels fastener fitted door drawer keep firmly closed strand cluster hair mechanism detonates charge gun enclosure consisting section canal closed control water level used raise lower vessels pass restraint incorporated ignition switch prevent use vehicle persons key wrestling hold part opponents body twisted pressured
lock with ink pen;🔏;\xF0\x9F\x94\x8F;<ed><a0><bd><ed><b4><8f>;lock grip latch with along alongside ink signature sign pen cage penitentiary;fasten lock keep engaged become rigid immoveable hold locking position become engaged intermeshed one another hold fast in certain state place place something cannot removed someone cannot escape pass means lock waterway build locks order facilitate navigation vessels hold fast firmly grip seize wrestling match render motionless fixed stare arousing terror awe fasten latch forward motion accompaniment companion advanced state addition usually followed with side side append ones signature mark coat cover stain ink fill ink name written handwriting distinguishing style melody used identify performer dance band radiotv program sharps flats follow clef indicate key sheet several pages printed it folds page size bound signatures form book used language deaf produce literary work confine cage used punishment reform criminals wrongdoers showing constituting penance;fasten lock keep engaged become rigid immoveable hold locking position become engaged intermeshed one another hold fast in certain state place place something cannot removed someone cannot escape pass means lock waterway build locks order facilitate navigation vessels fastener fitted door drawer keep firmly closed strand cluster hair mechanism detonates charge gun enclosure consisting section canal closed control water level used raise lower vessels pass restraint incorporated ignition switch prevent use vehicle persons key wrestling hold part opponents body twisted pressured append ones signature mark coat cover stain ink fill ink liquid used printing writing drawing dark protective fluid ejected water cuttlefish cephalopods produce literary work writing implement point ink flows enclosure confining livestock portable enclosure babies may left play correctional institution convicted major crimes female swan
lollipop;🍭;\xF0\x9F\x8D\xAD;<ed><a0><bc><ed><bd><ad>;lollipop lollops lolloped;ice cream water ice small wooden stick hard candy stick walk clumsily bounce walk clumsily bounce;ice cream water ice small wooden stick hard candy stick
loudly crying face;😭;\xF0\x9F\x98\xAD;<ed><a0><bd><ed><b8><ad>;loudly powerfully aloud crying sobbing mourning face look light;relatively high volume manner attracts attention used direction music played relatively loudly powerful manner manner powerful influence using voice silently relatively high volume demanding attention conspicuously outrageously bad reprehensible weep convulsively sorrowful loss deprivation deal something unpleasant oppose hostility competition oriented certain direction often respect another reference point opposite opposite turn face turn face certain direction present somebody something usually accuse criticize turn expose face line edge of garment cover front surface perceive attention direct ones gaze towards give certain impression certain outward aspect certain outward facial expression search seek oriented certain direction often respect another reference point opposite take charge deal convey ones expression look forward probable occurrence accord appearance faith confidence comparatively little physical weight density used color military industry using or great degree quantity number psychologically light especially free sadness troubles characterized emitting light used vowels syllables easily assimilated alimentary canal rich heavily seasoned used soil of sound color moving easily quickly nimble demanding little effort burdensome little intensity power force physics chemistry weak likely lose consciousness thin insubstantial marked temperance indulgence less correct legal full amount often deliberately little importance intended primarily entertainment serious profound silly trivial designed ease movement carry little weight relatively calories lite light of sleep casual unrestrained sexual behavior light;relatively high volume manner attracts attention used direction music played relatively loudly demanding attention conspicuously outrageously bad reprehensible utter sudden loud cry shed tears sadness rage pain utter aloud often surprise horror joy proclaim announce public demand immediate action utter characteristic sound bring particular state crying process shedding tears usually accompanied sobs inarticulate sounds deal something unpleasant oppose hostility competition oriented certain direction often respect another reference point opposite opposite turn face turn face certain direction present somebody something usually accuse criticize turn expose face line edge of garment cover front surface front human head forehead chin ear ear feelings expressed persons face general outward appearance something striking working surface implement part person used refer person surface forming part outside object part animal corresponding human face side upon use thing depends usually prominent surface object contorted facial expression specific size style type within type family status eyes others impudent aggressiveness vertical surface building cliff
love hotel;🏩;\xF0\x9F\x8F\xA9;<ed><a0><bc><ed><bf><a9>;love emotion tenderness hotel tavern house;great affection liking get pleasure enamored love sexual intercourse strong feeling tendency express warm affectionate feeling pain felt as area touched warm compassionate feelings positive feeling liking feeling concern welfare someone especially someone defenseless building travelers pay lodging meals services building bar licensed sell alcoholic drinks contain cover provide housing;great affection liking get pleasure enamored love sexual intercourse strong positive emotion regard affection object warm affection devotion beloved person used terms endearment deep feeling sexual desire attraction score zero tennis squash sexual activities often including sexual intercourse building travelers pay lodging meals services
love letter;💌;\xF0\x9F\x92\x8C;<ed><a0><bd><ed><b2><8c>;love emotion tenderness letter sign alphabet;great affection liking get pleasure enamored love sexual intercourse strong feeling tendency express warm affectionate feeling pain felt as area touched warm compassionate feelings positive feeling liking feeling concern welfare someone especially someone defenseless win athletic letter set print letters mark letters mark letters used language deaf character set includes letters used write language elementary stages subject usually plural;great affection liking get pleasure enamored love sexual intercourse strong positive emotion regard affection object warm affection devotion beloved person used terms endearment deep feeling sexual desire attraction score zero tennis squash sexual activities often including sexual intercourse win athletic letter set print letters mark letters mark letters written message addressed person organization conventional characters alphabet used represent speech owner lets another person use something housing usually strictly literal interpretation as distinct intention award earned participation school sport
low brightness symbol;🔅;\xF0\x9F\x94\x85;<ed><a0><bd><ed><b4><85>;low small flat brightness illumination brilliance symbol design emblem;less normal degree intensity amount literal meanings relatively small elevation upward extension low volume unrefined character used sounds voices low pitch frequency contemptible kind low inferior station quality longer sufficient subdued brought low condition status filled melancholy despondency limited average number quantity magnitude extent small relatively moderate limited small of children animals slight limited especially degree intensity scope low inferior station quality lowercase of voice fine small constituent particles large sufficient size amount made seem smaller less especially worth surface without slope tilt part higher lower another relatively broad surface relation depth thickness modified restricted reservations stretched lying full length along ground lacking contrast shading tones of musical note flattened laterally along whole length eg certain leafstalks flatfishes lacking taste flavor tang lacking stimulating characteristics uninteresting lost effervescence sounded spoken tone unvarying pitch horizontally level lacking expected range depth designed give illusion depth reflecting light glossy commercially inactive location visual perception along continuum black white intelligence manifested quick witty quality luminous emitting reflecting light condition spiritual awareness divine illumination degree visibility environment interpretation removes obstacles understanding luminous flux incident unit area painting drawing included book especially illuminated medieval manuscripts light within field vision brighter brightness eyes adapted quality magnificent splendid grand unusual mental ability arbitrary sign written printed something visible association convention represents something else invisible make work plan for devise plan something specific role purpose effect create design for create execute artistic highly skilled manner make design of plan systematic often graphic form create designs conceive fashion mind invent intend purpose special design visual object representing quality type group etc visible symbol representing abstract idea;less normal degree intensity amount literal meanings relatively small elevation upward extension low volume unrefined character used sounds voices low pitch frequency contemptible kind low inferior station quality longer sufficient subdued brought low condition status filled melancholy despondency make low noise characteristic bovines air mass lower pressure often brings precipitation british political cartoonist born new zealand 18911963 low level position degree lowest forward gear ratio gear box motor vehicle used start car moving low position near ground location visual perception along continuum black white intelligence manifested quick witty quality luminous emitting reflecting light arbitrary sign written printed something visible association convention represents something else invisible
mahjong tile red dragon;🀄;\xF0\x9F\x80\x84;<ed><a0><bc><ed><b0><84>;mahjong marking makin tile brick plate red rose flaming dragon basilisk hydra;chinese game played 4 people 144 tiles attach tag label designate mark distinctive feature attribute trait sometimes positive sense celebrate ceremony observation make leave mark accuse condemn openly formally brand disgraceful notice perceive mark scar make small marks surface establish highest level best performance make underscoring marks remove list put check mark near next assign grade rank to according ones evaluation insert punctuation marks battles world war ii pacific november 1943 cover tiles rectangular block clay baked sun kiln used building paving material good fellow helpful trustworthy coat layer metal color end color spectrum next orange characterized violence bloodshed especially face crimson something dusty purplish pink color informal intensifiers blinking intense creature teutonic mythology usually represented breathing fire reptilian body sometimes wings fiercely vigilant unpleasant woman faint constellation twisting around north celestial pole lying ursa major cepheus several small tropical asian lizards capable gliding spreading winglike membranes side body classical mythology lizard dragon ancient brass cannon small crested arboreal lizard able run hind legs tropical america greek mythology long faint constellation southern hemisphere near equator stretching virgo cancer trouble cannot overcome single effort many aspects persistent pervasive quality small tubular solitary freshwater hydrozoan polyp;chinese game played 4 people 144 tiles cover tiles flat thin rectangular slab as fired clay rubber linoleum thin flat slab fired clay used roofing game equipment consisting flat thin piece marked characters used board games like mahjong scrabble etc color end color spectrum next orange characterized violence bloodshed especially face crimson red color pigment chromatic color resembling hue blood tributary mississippi river flows eastward texas along southern boundary oklahoma louisiana emotionally charged terms used refer extreme radicals revolutionaries amount cost business exceeds revenue creature teutonic mythology usually represented breathing fire reptilian body sometimes wings fiercely vigilant unpleasant woman faint constellation twisting around north celestial pole lying ursa major cepheus several small tropical asian lizards capable gliding spreading winglike membranes side body
man;👨;\xF0\x9F\x91\xA8;<ed><a0><bd><ed><b1><a8>;man father brother;take charge certain job occupy certain work place provide workers make offspring male parents someone else male person fellow member of fraternity religion group close friend accompanies buddies activities used term address male persons engaged movement roman catholic church;take charge certain job occupy certain work place provide workers adult person male as opposed woman someone serves armed forces member military force generic use word refer human living extinct member family hominidae characterized superior intelligence articulate speech erect carriage male subordinate adult male person manly character virile courageous competent manservant acts personal attendant employer male person plays significant role husband lover boyfriend one british isles irish sea game equipment consisting object used playing certain board games living human inhabitants earth
man and woman holding hands;👫;\xF0\x9F\x91\xAB;<ed><a0><bd><ed><b1><ab>;man father brother and also furthermore woman girl wife holding goods property hands grip fist;take charge certain job occupy certain work place provide workers make offspring male parents someone else male person fellow member of fraternity religion group close friend accompanies buddies activities used term address male persons engaged movement roman catholic church addition addition adult female person as opposed man female person plays significant role wife mistress girlfriend human female employed housework women class young female youthful female person female human offspring girl young woman man romantically involved friendly informal reference grown woman married woman mans partner marriage cause continue certain state position activity eg keep clean hold ones hands grip organize responsible possess either concrete abstract sense keep mind convey conviction view maintain a theory thoughts feelings close within bounds otherwise limit deprive free movement secure keep possible future use application rightfully rights titles offices physical support of carry weight contain hold within room for hold without crowding remain certain state position condition support hold certain manner valid applicable true assert affirm major characteristic capable holding containing arrange reserve something someone else protect challenge attack bind obligation cause indebted hold attention remain committed resist confront resistance pertinent relevant applicable stop dealing lessen intensity of temper hold restraint hold keep within limits keep departing take maintain control over often violent means cause stop cover protection noise smell drink alcohol without showing ill effects aim point direct declare accord agreement keep exhaling expelling benefit moral excellence admirableness pleasing valuable useful articles commerce something owned tangible intangible possession owned someone basic essential attribute shared members class area set aside particular purpose construct whereby objects individuals distinguished movable articles objects used set play movie place hands custody guide conduct usher somewhere hold fast firmly grip seize wrestling match render motionless fixed stare arousing terror awe hand fingers clenched palm as hitting;take charge certain job occupy certain work place provide workers adult person male as opposed woman someone serves armed forces member military force generic use word refer human living extinct member family hominidae characterized superior intelligence articulate speech erect carriage male subordinate adult male person manly character virile courageous competent manservant acts personal attendant employer male person plays significant role husband lover boyfriend one british isles irish sea game equipment consisting object used playing certain board games living human inhabitants earth adult female person as opposed man female person plays significant role wife mistress girlfriend human female employed housework women class cause continue certain state position activity eg keep clean hold ones hands grip organize responsible possess either concrete abstract sense keep mind convey conviction view maintain a theory thoughts feelings close within bounds otherwise limit deprive free movement secure keep possible future use application rightfully rights titles offices physical support of carry weight contain hold within room for hold without crowding remain certain state position condition support hold certain manner valid applicable true assert affirm major characteristic capable holding containing arrange reserve something someone else protect challenge attack bind obligation cause indebted hold attention remain committed resist confront resistance pertinent relevant applicable stop dealing lessen intensity of temper hold restraint hold keep within limits keep departing take maintain control over often violent means cause stop cover protection noise smell drink alcohol without showing ill effects aim point direct declare accord agreement keep exhaling expelling act retaining something something owned tangible intangible possession owned someone place hands custody guide conduct usher somewhere prehensile hired laborer farm ranch something written hand ability position given location side object cards held card game given player given time one two sides issue rotating pointer face timepiece unit length equal 4 inches used measuring horses member crew ship card player game bridge round applause signify approval terminal part forelimb certain vertebrates eg apes kangaroos physical assistance with in force workers available
man with gua pi mao;👲;\xF0\x9F\x91\xB2;<ed><a0><bd><ed><b1><b2>;man father brother with along alongside gua gpa gum pi detective private eye mao mo map;take charge certain job occupy certain work place provide workers make offspring male parents someone else male person fellow member of fraternity religion group close friend accompanies buddies activities used term address male persons engaged movement roman catholic church forward motion accompaniment companion advanced state addition usually followed with side side measure students academic achievement college university calculated dividing total number grade points received total number attempted cover fill fix smear gum grind gums chew without teeth great difficulty become sticky exude form gum ratio circumference diameter circle approximately equal 314159265358979323846 someone employed detective collect information scientist charge experiment research project 16th letter greek alphabet antiviral drug used hiv interrupts hiv replication binding blocking hiv protease often used combination drugs police officer investigates crimes investigator engaged employed obtaining information easily available public confined particular persons groups providing privacy concerning things deeply private personal concerning one person exclusively expressed private look enzyme catalyzes oxidation many body compounds eg epinephrine norepinephrine serotonin chinese communist leader 18931976 indefinitely short time polyvalent metallic element resembles chromium tungsten properties used strengthen harden steel midwestern state central united states border state american civil war missouri admitted confederacy without actually seceding union make map of show establish features details explore survey purpose making map locate within specific region chromosome relation known dna gene sequences plan delineate arrange detail depict map establish mapping of mathematical elements sets;take charge certain job occupy certain work place provide workers adult person male as opposed woman someone serves armed forces member military force generic use word refer human living extinct member family hominidae characterized superior intelligence articulate speech erect carriage male subordinate adult male person manly character virile courageous competent manservant acts personal attendant employer male person plays significant role husband lover boyfriend one british isles irish sea game equipment consisting object used playing certain board games living human inhabitants earth ratio circumference diameter circle approximately equal 314159265358979323846 someone employed detective collect information scientist charge experiment research project 16th letter greek alphabet antiviral drug used hiv interrupts hiv replication binding blocking hiv protease often used combination drugs enzyme catalyzes oxidation many body compounds eg epinephrine norepinephrine serotonin chinese communist leader 18931976
man with turban;👳;\xF0\x9F\x91\xB3;<ed><a0><bd><ed><b1><b3>;man father brother with along alongside turban hat cap;take charge certain job occupy certain work place provide workers make offspring male parents someone else male person fellow member of fraternity religion group close friend accompanies buddies activities used term address male persons engaged movement roman catholic church forward motion accompaniment companion advanced state addition usually followed with side side traditional muslim headdress consisting long scarf wrapped around head small round womans hat put wear hat furnish hat lie top restrict number amount;take charge certain job occupy certain work place provide workers adult person male as opposed woman someone serves armed forces member military force generic use word refer human living extinct member family hominidae characterized superior intelligence articulate speech erect carriage male subordinate adult male person manly character virile courageous competent manservant acts personal attendant employer male person plays significant role husband lover boyfriend one british isles irish sea game equipment consisting object used playing certain board games living human inhabitants earth traditional muslim headdress consisting long scarf wrapped around head small round womans hat
man shoe;👞;\xF0\x9F\x91\x9E;<ed><a0><bd><ed><b1><9e>;man father brother shoe sneaker pump;take charge certain job occupy certain work place provide workers make offspring male parents someone else male person fellow member of fraternity religion group close friend accompanies buddies activities used term address male persons engaged movement roman catholic church furnish shoes canvas shoe pliable rubber sole someone acting informer decoy police operate like pump move down like handle pedal deliver forth draw pour pump supply great quantities flow intermittently move raise gases fluids question persistently;take charge certain job occupy certain work place provide workers adult person male as opposed woman someone serves armed forces member military force generic use word refer human living extinct member family hominidae characterized superior intelligence articulate speech erect carriage male subordinate adult male person manly character virile courageous competent manservant acts personal attendant employer male person plays significant role husband lover boyfriend one british isles irish sea game equipment consisting object used playing certain board games living human inhabitants earth furnish shoes footwear shaped fit foot below ankle card games ushaped plate nailed underside horses hoof restraint provided brake linings moved hydraulically brake drum retard wheels rotation
maple leaf;🍁;\xF0\x9F\x8D\x81;<ed><a0><bc><ed><bd><81>;maple male pale leaf needle stalk;wood various maple trees especially hard closegrained wood sugar maple used especially furniture flooring numerous trees shrubs genus acer bearing winged seeds pairs north temperate zone sex of plant animal spermatozoa characteristic man pertaining composed men boys light colored highly diluted white of light wan lacking vitality interest effectiveness abnormally deficient color suggesting physical emotional distress full rich look book written material turn pages produce leaves plants annoy provoke constant criticism prick needle walk stiffly follow stealthily recur constantly spontaneously go an area;wood various maple trees especially hard closegrained wood sugar maple used especially furniture flooring numerous trees shrubs genus acer bearing winged seeds pairs north temperate zone look book written material turn pages produce leaves plants main organ photosynthesis transpiration higher plants sheet written printed material especially manuscript book hinged detachable flat section as table door
meat on bone;🍖;\xF0\x9F\x8D\x96;<ed><a0><bc><ed><bd><96>;meat food foodstuff on about above bone cartilage bony process;flesh animals including fishes birds snails inner usually edible part seed grain nut fruit stone choicest essential vital part idea experience substance metabolized animal give energy build tissue solid substance as opposed liquid anything provides mental stimulus thinking usually plural substance used prepared use food operation operational of events move appearing earlier text consisting made bone tough elastic tissue mostly converted bone adults thin composed containing bone bones especially many prominent bones subject process treatment aim readying purpose improving remedying condition deal routine way perform mathematical logical operations data institute legal proceedings against file suit march procession shape form improve material deliver warrant summons someone;flesh animals including fishes birds snails inner usually edible part seed grain nut fruit stone choicest essential vital part idea experience operation operational of events forward motion indicates continuity persistence concentration state required something function effective consisting made bone study intensively exam remove bones rigid connective tissue makes skeleton vertebrates porous calcified substance bones made shade white color bleached bones
medium black circle;⚫;\xE2\x9A\xAB;<e2><9a><ab>;medium intermediate par black jet slate circle sphere ring;around middle scale evaluation lying two extremes time space state around middle scale evaluation make score on hole achromatic color maximum darkness little hue owing absorption almost incident light belonging racial group especially subsaharan african origin marked anger resentment hostility offering little hope stemming evil characteristics forces wicked dishonorable of events of face extremely dark harshly ironic sinister of intelligence operations distributed sold illicitly used conduct character of coffee soiled dirt soot blackest black similar color jet coal designate schedule enter list slate election cover slate travel around something move circular path someone something form draw circle around particular environment walk life spherically shaped artifact geographical area one nation influential particular aspect life activity solid figure bounded spherical surface including space encloses threedimensional closed surface every point surface equidistant center apparent surface imaginary sphere celestial bodies appear projected sound loudly sonorously ring echo sound make bells get try get communication with someone extend sides simultaneously encircle attach ring foot of order identify;around middle scale evaluation means instrumentality storing communicating information surrounding environment intervening substance signals travel means communication bacteriology solid liquid liquid pigment mixed painter biology intervening substance something achieved state intermediate extremes middle position someone serves intermediary living dead usually plural occupation especially well suited achromatic color maximum darkness little hue owing absorption almost incident light belonging racial group especially subsaharan african origin marked anger resentment hostility offering little hope stemming evil characteristics forces wicked dishonorable of events of face extremely dark harshly ironic sinister of intelligence operations distributed sold illicitly used conduct character of coffee soiled dirt soot make become black quality state achromatic color least lightness bearing least resemblance white total absence light british chemist identified carbon dioxide formulated concepts specific heat latent heat 17281799 popular child actress 1930s born 1928 board games black clothing worn sign mourning travel around something move circular path someone something form draw circle around ellipse two axes equal length plane curve generated one point moving constant distance fixed point unofficial association people groups something approximating shape circle movement around course road junction traffic streams circularly around central island street names flunitrazepan curved section tier seats hall theater opera house usually first tier orchestra circular rotating mechanism
